object,action,effect_sentence_1,effect_sentence_2,effect_sentence_3,effect_sentence_4,label
chairs,arrange,the object gets tangled up,the object gets tangled up,objects are moved around in order,the object gets tangled up,2
chairs,arrange,the object gets tangled up,the objects are put in order,the object gets tangled up,the object gets tangled up,1
chairs,arrange,the object gets tangled up,the object gets tangled up,the object gets tangled up,the objects are st in a specific order,3
chairs,arrange,objects are arranged in a specific fashion all on one side a circle all in a row etc,the object gets tangled up,the object gets tangled up,the object gets tangled up,0
chairs,arrange,the object gets tangled up,the object gets tangled up,the objects are now in a row,the object gets tangled up,2
chairs,arrange,the object gets tangled up,the object gets tangled up,the objects are moved around to new positions,the object gets tangled up,2
chairs,arrange,the object gets tangled up,the object gets tangled up,the object gets tangled up,the objects are moved and organized in the room,3
chairs,arrange,the object gets tangled up,the object gets tangled up,the objects are in order,the object gets tangled up,2
chairs,arrange,the object gets tangled up,the objects are being moved into a particular pattern,the object gets tangled up,the object gets tangled up,1
chairs,arrange,the object gets tangled up,the object gets tangled up,the objects are placed in an order,the object gets tangled up,2
potato,bake,to make the object a different color than what it originally was,the object is safe to eat,the object is divided into pieces,to make the object a different color than what it originally was,1
potato,bake,the object is divided into pieces,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is heated in the oven until soft,3
potato,bake,to make the object a different color than what it originally was,the object is divided into pieces,the object is cooked,to make the object a different color than what it originally was,2
potato,bake,to make the object a different color than what it originally was,the object is divided into pieces,to make the object a different color than what it originally was,a object is cooked in the oven,3
potato,bake,the object is divided into pieces,to make the object a different color than what it originally was,the objectes is heated until it is tender,to make the object a different color than what it originally was,2
potato,bake,the object is divided into pieces,to make the object a different color than what it originally was,to make the object a different color than what it originally was,the object is being surrounded by high heat,3
potato,bake,to make the object a different color than what it originally was,the object is divided into pieces,to make the object a different color than what it originally was,a object is heated in the oven,3
potato,bake,to make the object a different color than what it originally was,the object is heated in the oven so it can be eaten,the object is divided into pieces,to make the object a different color than what it originally was,1
potato,bake,the object is being cooked in an oven,to make the object a different color than what it originally was,the object is divided into pieces,to make the object a different color than what it originally was,0
eggs,beat,the contents of the object are extracted,the yolk and white of the object are completely blended together,the contents of the object are extracted,the objects are stirred,3
eggs,beat,the objects are scrambled,the contents of the object are extracted,the contents of the object are extracted,the yolk and white of the object are completely blended together,0
eggs,beat,the contents of the object are extracted,the contents of the object are extracted,the objects will be mixed together,the yolk and white of the object are completely blended together,2
eggs,beat,the contents of the object are extracted,the yolk and white of the object are completely blended together,the contents of the object are extracted,the object whites and yolks are blended until the mixture turns fluffy,3
eggs,beat,the contents of the object are extracted,the objects are mixed until uniform,the yolk and white of the object are completely blended together,the contents of the object are extracted,1
eggs,beat,the contents of the object are extracted,the contents of the object are extracted,objects are forcefully stirred together,the yolk and white of the object are completely blended together,2
eggs,beat,the yolk and white of the object are completely blended together,the contents of the object are extracted,the contents of the object are extracted,the objects are scrambled,3
eggs,beat,the contents of the object are extracted,objects are violently struck,the contents of the object are extracted,the yolk and white of the object are completely blended together,1
tree,bend,the object will be in someones hands or bag,object is moved from position to another,set object on fire,the object will be in someones hands or bag,1
tree,bend,the object will be falling to the ground soon,set object on fire,the object will be in someones hands or bag,the object will be in someones hands or bag,0
tree,bend,the object will be in someones hands or bag,set object on fire,the object should bend around the house,the object will be in someones hands or bag,2
tree,bend,set object on fire,the object will be in someones hands or bag,a object is bent into a different shape,the object will be in someones hands or bag,2
tree,bend,set object on fire,the object will be in someones hands or bag,the object will be in someones hands or bag,the object is being leaned on,3
tree,bend,the object appeared to be hunched over,set object on fire,the object will be in someones hands or bag,the object will be in someones hands or bag,0
tree,bend,the object will be in someones hands or bag,the object is curved,the object will be in someones hands or bag,set object on fire,1
tree,bend,the object will be in someones hands or bag,set object on fire,the object will be in someones hands or bag,the object is flexed,3
hair,bind,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,the object is now tied and lifted off of her neck,3
hair,bind,her object was arranged in a style to get it out of her way,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,0
hair,bind,the object is coiled around a finger,object becomes cooked is now firmer and edible,the object is gathered up and restricted from movement,object becomes cooked is now firmer and edible,2
hair,bind,object becomes cooked is now firmer and edible,her object was off her neck,object becomes cooked is now firmer and edible,the object is coiled around a finger,1
hair,bind,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,the object is contained and fastened out of the way,3
hair,bind,the object is coiled around a finger,object becomes cooked is now firmer and edible,her object is tied up,object becomes cooked is now firmer and edible,2
hair,bind,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,object will go from being loose to being tied together in one big bundle,3
hair,bind,object becomes cooked is now firmer and edible,the object is coiled around a finger,object becomes cooked is now firmer and edible,she secured her object so it was not freely flowing and gathered tightly,3
hair,bind,the object is coiled around a finger,to put you object in a ponytail or bun to get it out of the way,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,1
apple,bite,the inside flesh of the object is made visible,in order to empty out the object you need to squeeze it,putting my teeth on the object and chewing,in order to empty out the object you need to squeeze it,2
apple,bite,the inside flesh of the object is made visible,the object has teeth pressed into it,in order to empty out the object you need to squeeze it,in order to empty out the object you need to squeeze it,1
apple,bite,in order to empty out the object you need to squeeze it,the inside flesh of the object is made visible,the object is chewed with teeth,in order to empty out the object you need to squeeze it,2
apple,bite,a mouth uses teeth to remove a section of object from itself,in order to empty out the object you need to squeeze it,the inside flesh of the object is made visible,in order to empty out the object you need to squeeze it,0
apple,bite,the object is eaten,in order to empty out the object you need to squeeze it,in order to empty out the object you need to squeeze it,the inside flesh of the object is made visible,0
apple,bite,the object is being eaten,the inside flesh of the object is made visible,in order to empty out the object you need to squeeze it,in order to empty out the object you need to squeeze it,0
apple,bite,the object is being eaten,the inside flesh of the object is made visible,in order to empty out the object you need to squeeze it,in order to empty out the object you need to squeeze it,0
door,block,a object is secured shut,a object is obstructed,the object is removed from the body,the object is removed from the body,1
door,block,the object is removed from the body,a object is secured shut,the object is removed from the body,the object is being surrounded by an item,3
door,block,the object is removed from the body,a object is secured shut,the object is not able to move,the object is removed from the body,2
door,block,the object is removed from the body,a object is secured shut,the object is removed from the body,the object is being prevented from opening,3
door,block,a object is secured shut,the object is removed from the body,the object is removed from the body,the object has something to prevent people from passing through it,3
door,block,the object will not open,a object is secured shut,the object is removed from the body,the object is removed from the body,0
door,block,a object is secured shut,passage through a object is prevented by some obstruction,the object is removed from the body,the object is removed from the body,1
egg,boil,the object is heated until soft,the object is heated until soft,the object hardens and solidifies,the yolk and white of the object became hard,3
egg,boil,the object hardens and solidifies,the object is heated until soft,the object goes from being raw and unfit to eat to an opposite condition of being cooked by boiling and consumable,the object is heated until soft,2
egg,boil,the object will be cooked in hot water,the object hardens and solidifies,the object is heated until soft,the object is heated until soft,0
egg,boil,the object is heated until soft,the object yolk and whites solidify and the object is cooked,the object is heated until soft,the object hardens and solidifies,1
egg,boil,the object hardens and solidifies,the object is heated until soft,the object is heated until soft,the object hardens up on the inside and becomes ready to peel,3
